epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,1212.92,0.6616,0.40335,2.02575,0.95461,1,0.99167,0.92625,0.41743,0.29586,1.68154,0.00078032,0.00078032,0.00078032
156,1220.29,0.61976,0.39625,2.04435,0.95563,1,0.99167,0.93742,0.40721,0.2951,1.68151,0.0007724,0.0007724,0.0007724
157,1227.74,0.57583,0.36526,1.91495,0.95512,1,0.98958,0.92142,0.41617,0.30257,1.69738,0.00076448,0.00076448,0.00076448
158,1235.47,0.58726,0.37806,1.98841,0.93904,1,0.9825,0.92825,0.3714,0.28545,1.70183,0.00075656,0.00075656,0.00075656
159,1243.01,0.58442,0.38314,2.08196,0.94211,1,0.98417,0.93394,0.35617,0.28592,1.72875,0.00074864,0.00074864,0.00074864
160,1250.4,0.57781,0.36006,2.0529,0.95353,1,0.98792,0.93837,0.39424,0.30137,1.7287,0.00074072,0.00074072,0.00074072
161,1257.56,0.59821,0.3811,2.04786,0.95363,1,0.98625,0.93752,0.39999,0.30357,1.75029,0.0007328,0.0007328,0.0007328
162,1265.33,0.60952,0.37572,2.09835,0.95449,1,0.98958,0.92404,0.42404,0.31089,1.73359,0.00072488,0.00072488,0.00072488
163,1272.68,0.57044,0.37494,1.97321,0.95316,1,0.99333,0.94193,0.40319,0.31572,1.71182,0.00071696,0.00071696,0.00071696
164,1280.03,0.60825,0.40316,2.01045,0.95817,0.99601,0.99333,0.92736,0.41345,0.31305,1.72176,0.00070904,0.00070904,0.00070904
165,1287.08,0.61285,0.3897,1.99148,0.91736,1,0.99006,0.92669,0.40846,0.31055,1.78638,0.00070112,0.00070112,0.00070112
166,1294.36,0.58788,0.36297,1.97105,0.91699,1,0.99006,0.93447,0.39622,0.28739,1.74091,0.0006932,0.0006932,0.0006932
167,1301.54,0.61121,0.38529,1.9496,0.95602,0.95652,0.9918,0.93546,0.41163,0.28767,1.74657,0.00068528,0.00068528,0.00068528
168,1308.72,0.57213,0.3697,1.91021,0.95229,0.95652,0.9918,0.93513,0.40749,0.29148,1.76596,0.00067736,0.00067736,0.00067736
169,1315.9,0.61896,0.37805,2.10146,0.91695,1,0.98441,0.9302,0.41086,0.30093,1.76405,0.00066944,0.00066944,0.00066944
170,1323.06,0.56358,0.36138,1.89426,0.91816,1,0.98042,0.9215,0.41922,0.30551,1.7554,0.00066152,0.00066152,0.00066152
171,1330.28,0.58452,0.39335,1.94121,0.91776,1,0.9786,0.92712,0.4176,0.30942,1.75845,0.0006536,0.0006536,0.0006536
172,1337.59,0.5695,0.37527,1.92475,0.91783,1,0.9765,0.90258,0.45341,0.33411,1.76424,0.00064568,0.00064568,0.00064568
173,1344.83,0.56251,0.39696,1.88726,0.91426,1,0.96976,0.90616,0.42779,0.33681,1.76142,0.00063776,0.00063776,0.00063776
174,1352.16,0.58336,0.37298,2.0416,0.88247,1,0.96038,0.9103,0.42031,0.35099,1.7351,0.00062984,0.00062984,0.00062984
175,1359.6,0.58388,0.36157,1.90539,0.88259,1,0.96761,0.91307,0.42351,0.35221,1.71848,0.00062192,0.00062192,0.00062192
176,1367.2,0.53737,0.35659,1.99596,0.91778,1,0.97346,0.92881,0.3973,0.3279,1.70069,0.000614,0.000614,0.000614
177,1374.39,0.54371,0.35938,1.92485,0.91779,1,0.9769,0.93544,0.37949,0.31046,1.68489,0.00060608,0.00060608,0.00060608
178,1381.65,0.56292,0.36332,1.96377,0.91793,1,0.98441,0.94425,0.38932,0.30173,1.71289,0.00059816,0.00059816,0.00059816
179,1388.9,0.56307,0.34961,1.95101,0.91737,1,0.98615,0.94601,0.40096,0.30648,1.67133,0.00059024,0.00059024,0.00059024
180,1396.37,0.589,0.3831,1.94316,0.9178,1,0.98615,0.94642,0.3894,0.30014,1.65525,0.00058232,0.00058232,0.00058232
181,1403.49,0.56536,0.35621,2.05173,0.9179,1,0.98615,0.94823,0.3813,0.30158,1.62565,0.0005744,0.0005744,0.0005744
182,1410.67,0.55414,0.34489,1.89881,0.9179,1,0.9769,0.9245,0.38853,0.30149,1.6486,0.00056648,0.00056648,0.00056648
183,1418.1,0.56858,0.35926,1.96102,0.91838,1,0.9749,0.92695,0.38306,0.31735,1.68495,0.00055856,0.00055856,0.00055856
184,1425.72,0.60114,0.36905,2.02661,0.9189,1,0.9814,0.94815,0.39658,0.31877,1.71514,0.00055064,0.00055064,0.00055064
185,1433.17,0.57833,0.36997,1.92995,0.91903,1,0.98615,0.94675,0.40849,0.29186,1.74761,0.00054272,0.00054272,0.00054272
